,class,layer,correlation,pvalue
0,schooner,conv_1,0.3558823529411765,0.1761037380915931
1,schooner,conv_2,0.6470588235294118,0.006742077007179868
2,schooner,conv_3,,
3,schooner,conv_4,,
4,schooner,conv_5,0.8382352941176471,5.010342100683478e-05
5,schooner,dense_1,,
6,schooner,dense_2,0.8560943893554255,2.322242970286996e-05
7,brain_coral,conv_1,0.2764705882352941,0.2999421284923735
8,brain_coral,conv_2,0.5537561233777729,0.02604793005416466
9,brain_coral,conv_3,,
10,brain_coral,conv_4,,
11,brain_coral,conv_5,0.8676470588235294,1.3348681299166978e-05
12,brain_coral,dense_1,,
13,brain_coral,dense_2,0.6725535301282598,0.004309413851608708
14,junco_bird,conv_1,0.1411764705882353,0.6020026838819791
15,junco_bird,conv_2,0.6882352941176471,0.0032039086143957423
16,junco_bird,conv_3,0.55,0.027293972709730593
17,junco_bird,conv_4,0.7235294117647059,0.001534481189823956
18,junco_bird,conv_5,0.6911764705882353,0.0030247187950434044
19,junco_bird,dense_1,0.2520504151250418,0.3463223972679116
20,junco_bird,dense_2,0.6548701058619855,0.005903065347447846
21,snail,conv_1,0.2045622334525779,0.4472751519912378
22,snail,conv_2,0.5323529411764706,0.033768622960234626
23,snail,conv_3,0.6176470588235293,0.010787984601948835
24,snail,conv_4,0.4205882352941176,0.10476751392918707
25,snail,conv_5,0.4823529411764706,0.058458976774719576
26,snail,dense_1,0.6323529411764706,0.008577584103099355
27,snail,dense_2,0.6882352941176471,0.0032039086143957423
28,grey_whale,conv_1,-0.1323529411764706,0.6251064291516133
29,grey_whale,conv_2,0.6848313759858096,0.0034218751933879766
30,grey_whale,conv_3,,
31,grey_whale,conv_4,,
32,grey_whale,conv_5,0.8323529411764706,6.328124573232542e-05
33,grey_whale,dense_1,-0.21390722877221424,0.42632568853876995
34,grey_whale,dense_2,0.814433872946565,0.00012246712055938864
35,siberian_husky,conv_1,0.4032377839281032,0.12144556683501988
36,siberian_husky,conv_2,0.5823529411764706,0.017932734131035355
37,siberian_husky,conv_3,0.7152319817118912,0.0018416928955479026
38,siberian_husky,conv_4,0.16176470588235295,0.5494831434036929
39,siberian_husky,conv_5,0.7029411764705883,0.0023869526693009327
40,siberian_husky,dense_1,,
41,siberian_husky,dense_2,0.4675162334843878,0.06784816320690701
42,electric_fan,conv_1,0.22941176470588234,0.39272049088161975
43,electric_fan,conv_2,0.6441176470588235,0.007081524086582877
44,electric_fan,conv_3,0.4123715812387671,0.11245115836738827
45,electric_fan,conv_4,0.3944077594625243,0.13060411263391705
46,electric_fan,conv_5,0.7529411764705882,0.0007610810731946071
47,electric_fan,dense_1,0.15978940517595178,0.5544335963851982
48,electric_fan,dense_2,0.6705882352941177,0.004467208697738123
49,bookcase,conv_1,0.10882352941176471,0.688288293957414
50,bookcase,conv_2,0.5489331876101552,0.02765604884366154
51,bookcase,conv_3,,
52,bookcase,conv_4,,
53,bookcase,conv_5,0.7470588235294118,0.0008821069929846318
54,bookcase,dense_1,,
55,bookcase,dense_2,0.8638707268824694,1.608476468949186e-05
56,fountain_pen,conv_1,0.1264705882352941,0.6406944408168836
57,fountain_pen,conv_2,0.5294117647058824,0.0349520067895181
58,fountain_pen,conv_3,0.5441176470588236,0.029336337481376578
59,fountain_pen,conv_4,0.39999999999999997,0.12475042359840012
60,fountain_pen,conv_5,0.6735294117647058,0.0042327392484605075
61,fountain_pen,dense_1,0.4150111498822085,0.10994114720804482
62,fountain_pen,dense_2,0.6352941176470589,0.00818206461633401
63,toaster,conv_1,0.02647058823529412,0.9224805705017287
64,toaster,conv_2,0.4588235294117647,0.07383553449548107
65,toaster,conv_3,0.7205882352941175,0.001638191163879613
66,toaster,conv_4,0.5117647058823529,0.04272344816333178
67,toaster,conv_5,0.7558823529411764,0.0007058905869098943
68,toaster,dense_1,0.6008843040907749,0.013829794817761833
69,toaster,dense_2,0.7735294117647058,0.0004393556517117217
