,class,layer,tile,decoding_accuracy_delta,ablation_impact,cka,procrustes,pwcca,mean_sq_cca_corr,mean_cca_corr
0,schooner,conv_1,0,0.0130831483860425,0.06,6.22868537902832e-05,0.0001335144042968,1.877167418395942e-06,0.9995941382574384,0.9995972126286192
1,schooner,conv_1,1,0.0057332620941367,0.62,0.0006001591682434,0.0004382133483886,1.9034680867058285e-06,0.999594048621124,0.9995971672086542
2,schooner,conv_1,2,0.0050411024278288,0.0,0.0056089758872985,0.0018579959869384,1.9659411301109486e-06,0.999593899817311,0.9995970905309264
3,schooner,conv_1,3,0.0099561139601086,0.46,0.0926435589790344,0.0269198417663574,2.1731909715105857e-06,0.9995933107224156,0.9995967755721694
4,schooner,conv_1,4,0.0066405304946576,0.36,-5.888938903808594e-05,4.0531158447265625e-06,1.8604822532575227e-06,0.9995942151982128,0.999597251561334
5,schooner,conv_1,5,-0.003105476326294,0.82,-3.826618194580078e-05,3.147125244140625e-05,1.8662536345193104e-06,0.9995941813596874,0.9995972344719206
6,schooner,conv_1,6,-0.0105589960235064,0.4,-3.337860107421875e-06,7.009506225585938e-05,1.8738744167468011e-06,0.9995941468776018,0.9995972168741614
7,schooner,conv_1,7,-0.0070639493637547,0.62,0.0006048679351806,0.0006380081176757,1.9356007299187183e-06,0.9995939738260712,0.9995971269600284
8,schooner,conv_1,8,-0.0159493072983969,0.26,-6.103515625e-05,4.529953002929688e-06,1.843075347229828e-06,0.9995942339434256,0.999597261000166
9,schooner,conv_1,9,-0.0122024186129221,1.02,-3.635883331298828e-05,7.152557373046875e-07,1.8523124936109523e-06,0.9995942045409836,0.9995972461655052
10,schooner,conv_1,10,-0.0160386817576273,2.36,-4.279613494873047e-05,1.52587890625e-05,1.868117399439484e-06,0.9995941803722996,0.9995972338168364
11,schooner,conv_1,11,-0.0072404969677924,1.08,0.0004551410675048,0.0005450248718261,1.9197804534965e-06,0.999594000090281,0.9995971402177865
12,schooner,conv_1,12,0.0016558542974115,4.18,6.002187728881836e-05,2.86102294921875e-05,1.864477387036878e-06,0.9995941947860374,0.9995972411812698
13,schooner,conv_1,13,0.0111145095831728,3.2,0.0028021335601806,0.0007429122924804,1.8945477299192603e-06,0.9995940879836108,0.9995971870526544
14,schooner,conv_1,14,0.0175958174812865,7.64,0.0040653347969055,0.0017118453979492,1.9512619130468423e-06,0.9995939231715604,0.9995971035526224
15,schooner,conv_1,15,0.0429323496080866,9.28,0.0419325232505798,0.0214860439300537,2.045791338556313e-06,0.9995936558335272,0.9995969329535344
16,schooner,conv_2,0,0.0173752942957173,0.18,0.0004287958145141,0.0006704330444335,7.906697528270445e-05,0.9993857099270532,0.999492851885638
17,schooner,conv_2,1,0.011529219867516,0.16,0.0006384849548339,0.0008995532989501,7.978654903351146e-05,0.9993837129614294,0.9994918532351684
18,schooner,conv_2,2,0.0087142823833351,0.0,0.0020173788070678,0.0019392967224121,8.063408721625809e-05,0.999381582890858,0.999490788020461
19,schooner,conv_2,3,-0.0089214884617546,3.82,0.0399450659751892,0.0120136737823486,8.161381633065012e-05,0.999379303280465,0.9994896463904072
20,schooner,conv_2,4,-0.0053707496591316,0.0,2.8073787689208984e-05,0.0001614093780517,7.793233229735907e-05,0.9993887141848052,0.99949435425223
21,schooner,conv_2,5,-0.0192048741780744,0.12,6.574392318725586e-05,0.0002484321594238,7.870003080334698e-05,0.9993866051864904,0.9994932995831488
22,schooner,conv_2,6,-0.023031836254189,0.12,0.0001818537712097,0.0004177093505859,7.938870129264863e-05,0.999384743635189,0.9994923686543083
23,schooner,conv_2,7,-0.0364455947407922,0.16,0.0008742809295654,0.0009498596191406,8.059559722206622e-05,0.999381596900683,0.9994907949161946
24,schooner,conv_2,8,-0.0436455821021221,0.1,-4.6253204345703125e-05,1.1682510375976562e-05,7.701098502665982e-05,0.9993912134475202,0.9994956040820732
25,schooner,conv_2,9,-0.029948057349339,0.06,1.0728836059570312e-05,0.0001418590545654,7.820175672446084e-05,0.9993879152522052,0.9994939547201286
26,schooner,conv_2,10,-0.028729187820531,0.0,0.000135064125061,0.0003597736358642,7.921037362801364e-05,0.9993851738475188,0.9994925837932964
27,schooner,conv_2,11,-0.0539148422846594,0.64,0.0008143782615661,0.000946044921875,8.052421012960664e-05,0.9993817460381412,0.999490869425699
28,schooner,conv_2,12,-0.0101088340174889,0.64,0.0001066327095031,0.0002930164337158,7.865823341202116e-05,0.9993866739733492,0.9994933339784956
29,schooner,conv_2,13,0.0062422930371879,2.0,0.0004385709762573,0.0007295608520507,7.97167513540975e-05,0.9993838346914468,0.9994919141035672
30,schooner,conv_2,14,0.0327360789114653,4.8,0.0012506246566772,0.0015463829040527,8.037028241136834e-05,0.999382152583819,0.999491072904417
31,schooner,conv_2,15,0.0750519861955449,40.84,0.0379467010498046,0.0126006603240966,8.118126437717255e-05,0.99938045879658,0.999490225105068
32,schooner,conv_3,0,0.0257314609027967,0.0,0.0005146861076354,0.0007212162017822,0.0002703144171214,0.9986909842867636,0.9991453238332948
33,schooner,conv_3,1,0.0093064967194345,0.02,0.000660240650177,0.0010061264038085,0.0002725092879655,0.9986841076698588,0.9991418831632584
34,schooner,conv_3,2,0.0128832591692263,0.08,0.0009430646896362,0.0012235641479492,0.000273243170739,0.9986823675703088,0.9991410126554924
35,schooner,conv_3,3,0.0113326683304876,0.88,0.0051374435424804,0.0029456615447998,0.0002728910035214,0.9986853438843636,0.999142502087402
36,schooner,conv_3,4,0.0043585067257427,0.18,0.0001070499420166,0.0003061294555664,0.0002673249254709,0.998700785154239,0.9991502279017884
37,schooner,conv_3,5,-0.0005461704158562,0.14,0.0001869201660156,0.0004193782806396,0.0002696475271507,0.9986931752695422,0.9991464201890488
38,schooner,conv_3,6,-0.0019129137155251,0.24,0.0002998709678649,0.0006108283996582,0.0002715148613375,0.9986873418618571,0.9991435014602096
39,schooner,conv_3,7,-0.0014343435072907,2.74,0.000646948814392,0.0008957386016845,0.0002722097621769,0.9986863941774504,0.9991430275660192
40,schooner,conv_3,8,-0.0034185376368618,0.52,-1.0251998901367188e-05,9.775161743164062e-05,0.000264573077902,0.998710294486004,0.9991549862426778
41,schooner,conv_3,9,-6.320353240774068e-09,0.12,0.000157356262207,0.00038743019104,0.0002694961567616,0.9986936234571542,0.9991466444386832
42,schooner,conv_3,10,-0.0002047795243097,0.46,0.0004323124885559,0.0006930828094482,0.0002718037895416,0.9986866030971376,0.9991431318473608
43,schooner,conv_3,11,0.0016367061922021,6.64,0.0008001923561096,0.0009799003601074,0.000272124588674,0.99868671006065,0.9991431856378644
44,schooner,conv_3,12,0.0059201646787503,2.12,0.0003913044929504,0.0006170272827148,0.0002702707893073,0.998691173161032,0.9991454183635942
45,schooner,conv_3,13,0.0073438409401023,5.86,0.000896394252777,0.0011279582977294,0.0002726576790095,0.998683709011338,0.9991416837030712
46,schooner,conv_3,14,0.0103201152015678,8.2,0.0011581778526306,0.0013673305511474,0.0002734704506133,0.9986817904668114,0.9991407238595762
47,schooner,conv_3,15,0.0279226654185981,25.8,0.004290223121643,0.0033743381500244,0.0002738820067069,0.998681639889746,0.999140648631626
48,schooner,conv_4,0,0.0360400802322018,0.0,0.0005130767822265,0.0008108615875244,0.0001593899593165,0.9990866475420702,0.9993432739987764
49,schooner,conv_4,1,0.0123196725571249,0.02,0.0007251501083374,0.0011394023895263,0.0001602283243399,0.9990842948301156,0.9993420971921032
50,schooner,conv_4,2,0.0020865858933264,0.02,0.0010571479797363,0.0013055801391601,0.0001601074037564,0.9990850854728364,0.9993424927043364
51,schooner,conv_4,3,-0.0012810809979717,0.36,0.0063211321830749,0.0031170845031738,0.0001593277510374,0.999088470073512,0.9993441853762072
