,class,layer,tile,decoding_accuracy_delta,ablation_impact,cka,procrustes,pwcca,mean_sq_cca_corr,mean_cca_corr
0,schooner,conv_1,0,0.0956817811210624,0.36,0.00017493963241577148,9.202957153320312e-05,1.4462949194937735e-06,0.9979960911038399,0.9979980749754273
1,schooner,conv_1,1,0.061928599404416196,0.38,0.0006642341613769531,0.0002865791320800781,1.455031365060755e-06,0.9979960449574224,0.9979980517567515
2,schooner,conv_1,2,0.07867810112029122,0.04,0.002930283546447754,0.0009946823120117188,1.5015360953496426e-06,0.9979959467791413,0.9979980023975047
3,schooner,conv_1,3,-0.05588680184848638,0.26,0.0644349455833435,0.015461921691894531,1.718269149186824e-06,0.9979953606293661,0.9979977059226108
4,schooner,conv_1,4,0.03204651798744962,0.26,9.059906005859375e-06,8.58306884765625e-06,1.421044437566188e-06,0.9979961526946053,0.9979981058434787
5,schooner,conv_1,5,0.0485432100580927,0.42,2.1576881408691406e-05,1.33514404296875e-05,1.419721674333907e-06,0.9979961463822338,0.9979981026594235
6,schooner,conv_1,6,0.023321376600151433,0.56,4.947185516357422e-05,3.24249267578125e-05,1.4255395425211148e-06,0.9979961274289771,0.9979980931263528
7,schooner,conv_1,7,0.03020184293373762,0.28,0.0005221962928771973,0.0002384185791015625,1.48413529876823e-06,0.9979959941162136,0.9979980257405032
8,schooner,conv_1,8,-0.1258384835567492,0.52,2.086162567138672e-06,4.76837158203125e-06,1.4190162133109752e-06,0.9979961477636973,0.9979981033859774
9,schooner,conv_1,9,0.03845297960358851,0.76,1.0907649993896484e-05,7.62939453125e-06,1.4146581390761526e-06,0.997996165310078,0.9979981121405287
10,schooner,conv_1,10,0.05139054538300403,1.56,2.1755695343017578e-05,1.9550323486328125e-05,1.426773830082162e-06,0.9979961272065927,0.9979980930260285
11,schooner,conv_1,11,0.03204658193298482,1.12,0.00044226646423339844,0.00021839141845703125,1.4813391551182775e-06,0.9979960015670944,0.99799802951262
12,schooner,conv_1,12,0.06383685142413031,4.48,4.309415817260742e-05,2.5510787963867188e-05,1.4116863500390764e-06,0.9979961471790723,0.9979981030453203
13,schooner,conv_1,13,0.0791821367974826,3.84,0.0003840923309326172,0.00022339820861816406,1.445472698202721e-06,0.9979960763435288,0.9979980674825405
14,schooner,conv_1,14,0.11784476604047983,10.68,0.0018099546432495117,0.0010464191436767578,1.4926540242710118e-06,0.9979959494047693,0.9979980037671649
15,schooner,conv_1,15,0.07547463015757355,9.64,0.03475433588027954,0.01389455795288086,1.6097468342746168e-06,0.9979956333162711,0.9979978368139899
16,schooner,conv_2,0,0.03857991899954738,0.0,0.0005393624305725098,0.00033926963806152344,5.9574146026197816e-05,0.9978552737029716,0.9979276343765202
17,schooner,conv_2,1,0.009873780346291605,0.2,0.0006963610649108887,0.0004515647888183594,6.0345060800437444e-05,0.9978533911074805,0.9979266929834564
18,schooner,conv_2,2,0.004438399722459074,0.04,0.001949012279510498,0.0010750293731689453,6.109932632614168e-05,0.997851536750022,0.997925765704679
